goos: windows
goarch: amd64
pkg: github.com/Madhavkannank/fafa/tests/port
cpu: Intel(R) Core(TM) 5 210H
BenchmarkComparePure-12          	443407035	         2.725 ns/op	       0 B/op	       0 allocs/op
BenchmarkComparePure-12          	431615395	         2.721 ns/op	       0 B/op	       0 allocs/op
BenchmarkEqualPure-12            	220643964	         5.397 ns/op	       0 B/op	       0 allocs/op
BenchmarkEqualPure-12            	216600163	         5.369 ns/op	       0 B/op	       0 allocs/op
BenchmarkEqualPure-12            	222392434	         5.417 ns/op	       0 B/op	       0 allocs/op
BenchmarkEqualPure-12            	216912681	         5.436 ns/op	       0 B/op	       0 allocs/op
BenchmarkEqualPure-12            	226190823	         5.482 ns/op	       0 B/op	       0 allocs/op
BenchmarkEqualPure-12            	210931599	         5.490 ns/op	       0 B/op	       0 allocs/op
BenchmarkEqualPure-12            	225421707	         5.679 ns/op	       0 B/op	       0 allocs/op
BenchmarkEqualPure-12            	217115386	         5.591 ns/op	       0 B/op	       0 allocs/op
BenchmarkEqualPure-12            	215101948	         5.602 ns/op	       0 B/op	       0 allocs/op
BenchmarkEqualPure-12            	213108668	         5.560 ns/op	       0 B/op	       0 allocs/op
BenchmarkDivide-12               	 3896978	       304.3 ns/op	     192 B/op	       8 allocs/op
BenchmarkDivide-12               	 3991185	       305.2 ns/op	     192 B/op	       8 allocs/op
BenchmarkDivide-12               	 3946939	       305.5 ns/op	     192 B/op	       8 allocs/op
BenchmarkDivide-12               	 3895220	       304.5 ns/op	     192 B/op	       8 allocs/op
BenchmarkDivide-12               	 3914064	       302.7 ns/op	     192 B/op	       8 allocs/op
BenchmarkDivide-12               	 3915819	       305.2 ns/op	     192 B/op	       8 allocs/op
BenchmarkDivide-12               	 3910208	       304.5 ns/op	     192 B/op	       8 allocs/op
BenchmarkDivide-12               	 3952777	       306.0 ns/op	     192 B/op	       8 allocs/op
BenchmarkDivide-12               	 3953196	       305.6 ns/op	     192 B/op	       8 allocs/op
BenchmarkDivide-12               	 3952906	       302.4 ns/op	     192 B/op	       8 allocs/op
BenchmarkRemainder-12            	 4254156	       280.1 ns/op	     144 B/op	       6 allocs/op
BenchmarkRemainder-12            	 4231600	       281.4 ns/op	     144 B/op	       6 allocs/op
BenchmarkRemainder-12            	 4114314	       282.7 ns/op	     144 B/op	       6 allocs/op
BenchmarkRemainder-12            	 4284372	       284.9 ns/op	     144 B/op	       6 allocs/op
BenchmarkRemainder-12            	 4263235	       282.1 ns/op	     144 B/op	       6 allocs/op
BenchmarkRemainder-12            	 4262740	       285.8 ns/op	     144 B/op	       6 allocs/op
BenchmarkRemainder-12            	 4276174	       292.7 ns/op	     144 B/op	       6 allocs/op
BenchmarkRemainder-12            	 4259506	       282.3 ns/op	     144 B/op	       6 allocs/op
BenchmarkRemainder-12            	 4175713	       281.8 ns/op	     144 B/op	       6 allocs/op
BenchmarkRemainder-12            	 4187428	       282.1 ns/op	     144 B/op	       6 allocs/op
BenchmarkDivRem-12               	 3641296	       329.8 ns/op	     192 B/op	       8 allocs/op
BenchmarkDivRem-12               	 3753939	       335.0 ns/op	     192 B/op	       8 allocs/op
BenchmarkDivRem-12               	 3711679	       329.0 ns/op	     192 B/op	       8 allocs/op
BenchmarkDivRem-12               	 3671371	       328.4 ns/op	     192 B/op	       8 allocs/op
BenchmarkDivRem-12               	 3626976	       326.0 ns/op	     192 B/op	       8 allocs/op
BenchmarkDivRem-12               	 3652052	       327.6 ns/op	     192 B/op	       8 allocs/op
BenchmarkDivRem-12               	 3653056	       326.6 ns/op	     192 B/op	       8 allocs/op
BenchmarkDivRem-12               	 3694776	       334.3 ns/op	     192 B/op	       8 allocs/op
BenchmarkDivRem-12               	 3674247	       328.0 ns/op	     192 B/op	       8 allocs/op
BenchmarkDivRem-12               	 3740608	       325.0 ns/op	     192 B/op	       8 allocs/op
BenchmarkMultiply-12             	11854860	        94.81 ns/op	      64 B/op	       2 allocs/op
BenchmarkMultiply-12             	12842300	        94.61 ns/op	      64 B/op	       2 allocs/op
BenchmarkMultiply-12             	12383658	        95.69 ns/op	      64 B/op	       2 allocs/op
BenchmarkMultiply-12             	12653102	        94.94 ns/op	      64 B/op	       2 allocs/op
BenchmarkMultiply-12             	12705268	        96.75 ns/op	      64 B/op	       2 allocs/op
BenchmarkMultiply-12             	13315844	        93.96 ns/op	      64 B/op	       2 allocs/op
BenchmarkMultiply-12             	12887082	        95.51 ns/op	      64 B/op	       2 allocs/op
BenchmarkMultiply-12             	12931675	        94.32 ns/op	      64 B/op	       2 allocs/op
BenchmarkMultiply-12             	12926103	        94.35 ns/op	      64 B/op	       2 allocs/op
BenchmarkMultiply-12             	12476540	       101.7 ns/op	      64 B/op	       2 allocs/op
BenchmarkToStringHex1Limb-12     	43973718	        26.57 ns/op	      16 B/op	       2 allocs/op
BenchmarkToStringHex1Limb-12     	42408520	        26.68 ns/op	      16 B/op	       2 allocs/op
BenchmarkToStringHex1Limb-12     	40420916	        26.97 ns/op	      16 B/op	       2 allocs/op
BenchmarkToStringHex1Limb-12     	38998010	        26.57 ns/op	      16 B/op	       2 allocs/op
BenchmarkToStringHex1Limb-12     	44223164	        26.57 ns/op	      16 B/op	       2 allocs/op
BenchmarkToStringHex1Limb-12     	45749490	        26.59 ns/op	      16 B/op	       2 allocs/op
BenchmarkToStringHex1Limb-12     	46551502	        26.38 ns/op	      16 B/op	       2 allocs/op
BenchmarkToStringHex1Limb-12     	41149723	        26.46 ns/op	      16 B/op	       2 allocs/op
BenchmarkToStringHex1Limb-12     	41667534	        26.51 ns/op	      16 B/op	       2 allocs/op
BenchmarkToStringHex1Limb-12     	46539948	        26.56 ns/op	      16 B/op	       2 allocs/op
BenchmarkToStringDec1Limb-12     	50664763	        22.62 ns/op	      16 B/op	       1 allocs/op
BenchmarkToStringDec1Limb-12     	52987851	        22.59 ns/op	      16 B/op	       1 allocs/op
BenchmarkToStringDec1Limb-12     	51674467	        22.70 ns/op	      16 B/op	       1 allocs/op
BenchmarkToStringDec1Limb-12     	58465000	        23.35 ns/op	      16 B/op	       1 allocs/op
BenchmarkToStringDec1Limb-12     	58796148	        22.74 ns/op	      16 B/op	       1 allocs/op
BenchmarkToStringDec1Limb-12     	51551706	        22.90 ns/op	      16 B/op	       1 allocs/op
BenchmarkToStringDec1Limb-12     	73958570	        22.58 ns/op	      16 B/op	       1 allocs/op
BenchmarkToStringDec1Limb-12     	49401418	        22.26 ns/op	      16 B/op	       1 allocs/op
BenchmarkToStringDec1Limb-12     	59061512	        22.42 ns/op	      16 B/op	       1 allocs/op
BenchmarkToStringDec1Limb-12     	57865904	        22.51 ns/op	      16 B/op	       1 allocs/op
BenchmarkToStringDec3Limbs-12    	  807259	      1754 ns/op	    1192 B/op	      71 allocs/op
BenchmarkToStringDec3Limbs-12    	  751573	      1755 ns/op	    1192 B/op	      71 allocs/op
BenchmarkToStringDec3Limbs-12    	  664885	      1735 ns/op	    1192 B/op	      71 allocs/op
BenchmarkToStringDec3Limbs-12    	  649227	      1740 ns/op	    1192 B/op	      71 allocs/op
BenchmarkToStringDec3Limbs-12    	  690150	      1722 ns/op	    1192 B/op	      71 allocs/op
BenchmarkToStringDec3Limbs-12    	  690252	      1725 ns/op	    1192 B/op	      71 allocs/op
BenchmarkToStringDec3Limbs-12    	  757924	      1728 ns/op	    1192 B/op	      71 allocs/op
