Run,CoveragePct,DurationSeconds
2,88.7,133.49009561538696
3,88.5,133.89855289459229
4,88.5,134.12181687355042
5,88.5,134.32046747207642
6,88.5,134.11387085914612
7,88.5,133.83457255363464
8,88.5,133.93642663955688
9,88.5,133.8265814781189
